6810, 907396892, 5548156
6841, 911402784, 5554622
6873, 915423540, 5564193
6904, 919469616, 5575495
6936, 923492496, 5586715
6968, 927535804, 5596273
6999, 931561736, 5602699
7031, 935601368, 5609147
7062, 939599728, 5615529
7094, 943590656, 5622402
7125, 947534080, 5632082
7157, 951422372, 5643709
7188, 955293000, 5651662
7220, 959068528, 5666844
7251, 962719496, 5679469
7283, 966246060, 5698413
7315, 969682724, 5712014
7346, 972975372, 5741010
7378, 977915672, 5921278
7409, 983632476, 5979603
7441, 988821804, 6042225
7473, 993780612, 6072267
7504, 998534532, 6099420
7536, 1003046020, 6139709
7568, 1007442532, 6163165
7599, 1011857308, 6183151
7631, 1016238460, 6198849
7663, 1020563152, 6225075
7694, 1024825272, 6256321
7726, 1025151112, 6257969
7758, 1026708476, 6263606
7790, 1030906096, 6282808
7822, 1035100132, 6304910
7853, 1039340696, 6316513
7885, 1043581656, 6333330
7917, 1047787708, 6350400
7949, 1052030200, 6359744
7980, 1056237276, 6369010
8012, 1060464788, 6378321
8044, 1064654740, 6392561
8075, 1068859588, 6406358
8107, 1073074344, 6424110
8139, 1077191744, 6448714
8171, 1081258260, 6476126
8202, 1085235964, 6496617
8234, 1089152712, 6506748
8266, 1093087880, 6517887
8298, 1096951936, 6532393
8329, 1100704008, 6543628
8361, 1104444048, 6550271
8393, 1108207704, 6559887
8425, 1111950764, 6570000
8456, 1115698968, 6581110
8488, 1119433492, 6588943
8520, 1123164664, 6594900
8551, 1126898968, 6600862
8583, 1130614404, 6606794
8615, 1134389420, 6612821
8647, 1138029904, 6621102
8678, 1141600360, 6630218
8710, 1145158544, 6639797
8742, 1148724544, 6649360
8774, 1152163328, 6660870
8805, 1155456120, 6674806
8837, 1158617980, 6687482
8869, 1161763480, 6699484
8901, 1164795660, 6717322
8933, 1167517836, 6835776
8965, 1167517836, 6835776
8997, 1171298336, 6896939
9029, 1176920904, 6952519
9061, 1181925992, 6996831
9092, 1186777412, 7021839
9124, 1191456860, 7045784
9156, 1195895292, 7079149
9188, 1200236384, 7101470
9220, 1204548060, 7120380
9252, 1208899028, 7133820
9284, 1213194292, 7154635
9316, 1217407844, 7180567
9348, 1221598516, 7193881
9380, 1225802664, 7209072
9412, 1229991200, 7229095
9443, 1234197304, 7238018
